codigo;nome;uf;estado
105;ITAPIRANGA;AM;AMAZONAS
4429;ITAPIRANGA;SC;SANTA CATARINA
5381;ITAPIRAPUA;GO;GOIÁS
3517;ITAPIRAPUA PAULISTA;SP;SÃO PAULO
372;ITAPIRATINS;TO;TOCANTIS
1546;ITAPISSUMA;PE;PERNAMBUCO
2016;ITAPITANGA;BA;BAHIA
976;ITAPIUNA;CE;CEARA
4430;ITAPOA;SC;SANTA CATARINA
3518;ITAPOLIS;SP;SÃO PAULO
5100;ITAPORA;MS;MATO GROSSO DO SUL
373;ITAPORA DO TOCANTINS;TO;TOCANTIS
1328;ITAPORANGA;PB;PARAIBA
3519;ITAPORANGA;SP;SÃO PAULO
1776;ITAPORANGA D'AJUDA;SE;SERGIPE
1329;ITAPOROROCA;PB;PARAIBA
4794;ITAPUCA;RS;RIO GRANDE DO SUL
3520;ITAPUI;SP;SÃO PAULO
3521;ITAPURA;SP;SÃO PAULO
5382;ITAPURANGA;GO;GOIÁS
3522;ITAQUAQUECETUBA;SP;SÃO PAULO
2017;ITAQUARA;BA;BAHIA
4795;ITAQUI;RS;RIO GRANDE DO SUL
5101;ITAQUIRAI;MS;MATO GROSSO DO SUL
1547;ITAQUITINGA;PE;PERNAMBUCO
3125;ITARANA;ES;ESPÍRITO SANTO
2018;ITARANTIM;BA;BAHIA
3523;ITARARE;SP;SÃO PAULO
977;ITAREMA;CE;CEARA
3524;ITARIRI;SP;SÃO PAULO
5383;ITARUMA;GO;GOIÁS
3200;ITATIAIA;RJ;RIO DE JANEIRO
2617;ITATIAIUCU;MG;MINAS GERAIS
3525;ITATIBA;SP;SÃO PAULO
4796;ITATIBA DO SUL;RS;RIO GRANDE DO SUL
2019;ITATIM;BA;BAHIA
3526;ITATINGA;SP;SÃO PAULO
978;ITATIRA;CE;CEARA
1330;ITATUBA;PB;PARAIBA
1126;ITAU;RN;RIO GRANDE DO NORTE
2618;ITAU DE MINAS;MG;MINAS GERAIS
5185;ITAUBA;MT;MATO GROSSO
301;ITAUBAL;AP;AMAPÁ
5384;ITAUCU;GO;GOIÁS
764;ITAUEIRA;PI;PIAUI
2619;ITAUNA;MG;MINAS GERAIS
4063;ITAUNA DO SUL;PR;PARANÁ
2620;ITAVERAVA;MG;MINAS GERAIS
2621;ITINGA;MG;MINAS GERAIS
542;ITINGA DO MARANHAO;MA;MARANHÃO
5186;ITIQUIRA;MT;MATO GROSSO
3527;ITIRAPINA;SP;SÃO PAULO
3528;ITIRAPUA;SP;SÃO PAULO
2020;ITIRUCU;BA;BAHIA
2021;ITIUBA;BA;BAHIA
3529;ITOBI;SP;SÃO PAULO
